,tile_id,accepted_number_of_marks
539,SWC0129_1_1,2
540,SWC0129_1_2,5
541,SWC0129_1_3,4
542,SWC0129_2_1,1
543,SWC0129_2_2,1
544,SWC0129_2_3,1
545,SWC0129_3_1,4
546,SWC0129_3_2,1
547,SWC0129_3_3,9
548,SWC0129_4_1,12
549,SWC0129_4_2,6
550,SWC0129_4_3,1
551,SWC0132_1_1,9
552,SWC0132_1_2,4
553,SWC0132_1_3,7
554,SWC0132_2_1,15
555,SWC0132_2_2,9
556,SWC0132_2_3,13
557,SWC0132_3_1,7
558,SWC0132_3_2,0
559,SWC0132_3_3,0
560,SWC0132_4_1,0
561,SWC0132_4_2,0
562,SWC0132_4_3,0
563,SWC0137_1_1,3
564,SWC0137_1_2,3
565,SWC0137_1_3,8
566,SWC0137_2_1,3
567,SWC0137_2_2,5
568,SWC0137_2_3,6
569,SWC0137_3_1,10
570,SWC0137_3_2,1
571,SWC0137_3_3,1
572,SWC0137_4_1,20
573,SWC0137_4_2,9
574,SWC0137_4_3,4
575,SWC0138_1_1,4
576,SWC0138_1_2,3
577,SWC0138_1_3,3
578,SWC0138_2_1,0
579,SWC0138_2_2,2
580,SWC0138_2_3,3
581,SWC0138_3_1,0
582,SWC0138_3_2,12
583,SWC0138_3_3,11
584,SWC0138_4_1,1
585,SWC0138_4_2,0
586,SWC0138_4_3,0
587,SWC0139_1_1,1
588,SWC0139_1_2,1
589,SWC0139_1_3,0
590,SWC0139_2_1,0
591,SWC0139_2_2,0
592,SWC0139_2_3,2
593,SWC0139_3_1,2
594,SWC0139_3_2,3
595,SWC0139_3_3,3
596,SWC0139_4_1,2
597,SWC0139_4_2,11
598,SWC0139_4_3,7
599,SWC0140_1_1,12
600,SWC0140_1_2,11
601,SWC0140_1_3,0
602,SWC0140_2_1,7
603,SWC0140_2_2,3
604,SWC0140_2_3,1
605,SWC0140_3_1,0
606,SWC0140_3_2,1
607,SWC0140_3_3,1
608,SWC0140_4_1,0
609,SWC0140_4_2,0
610,SWC0140_4_3,0
611,SWC0141_1_1,6
612,SWC0141_1_2,4
613,SWC0141_1_3,6
614,SWC0141_2_1,1
